ID (for name),Name and abbreviation,CAS no.,EC / List no.,Health effects,Environmental effects,Status,Regulatory Field,Year,Appears on lists,Source list,List category,IsomericSMILES,InChIKey
345,"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol",26571-11-9,247-816-5,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,FBWNMEQMRUMQSO-UHFFFAOYSA-N
345,"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol",26571-11-9,247-816-5,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,FBWNMEQMRUMQSO-UHFFFAOYSA-N
784,"29-(nonylphenoxy)-3,6,9,12,15,18,21,24,27-nonaoxanonacosanol",27177-08-8,248-294-1,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC(=CC=C1)OCCCOCCOCCOCCOCCOCCOCCOCCOCCOCO,BSZNKPSUDHKEJN-UHFFFAOYSA-N
784,"29-(nonylphenoxy)-3,6,9,12,15,18,21,24,27-nonaoxanonacosanol",27177-08-8,248-294-1,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC(=CC=C1)OCCCOCCOCCOCCOCCOCCOCCOCCOCCOCO,BSZNKPSUDHKEJN-UHFFFAOYSA-N
332,"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-",20636-48-0,,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCO,PITRRWWILGYENJ-UHFFFAOYSA-N
332,"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-",20636-48-0,,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCO,PITRRWWILGYENJ-UHFFFAOYSA-N
775,"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-, branched",91648-64-5,293-926-1,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,,
775,"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-, branched",91648-64-5,293-926-1,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,,
781,"3,6,9,12,15-Pentaoxaheptadecan-1-ol, 17-(nonylphenoxy)-",27177-01-1,,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCO,TWIMUEGVLWNOMO-UHFFFAOYSA-N
781,"3,6,9,12,15-Pentaoxaheptadecan-1-ol, 17-(nonylphenoxy)-",27177-01-1,,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCO,TWIMUEGVLWNOMO-UHFFFAOYSA-N
778,"3,6,9,12,15,18,21,24,27-Nonaoxanonacosan-1-ol, 29-(isononylphenoxy)-",65455-72-3,,,Yes,Environmental authorisation list,REACH,2017,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,HYZLLJKTXYYLDT-UHFFFAOYSA-N
778,"3,6,9,12,15,18,21,24,27-Nonaoxanonacosan-1-ol, 29-(isononylphenoxy)-",65455-72-3,,,Yes,Environmental candidate list,REACH,2013,List I,List I,List I,CCCCCCCCCC1=CC=CC=C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,HYZLLJKTXYYLDT-UHFFFAOYSA-N
